fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg,hist_fights,hist_wins,hist_losses,hist_win_rate,hist_strike_acc,hist_td_acc,hist_sub_avg,hist_ctrl_avg,hist_finish_rate
c5ccd878231c5407,Ramon Taveras,The Savage,10,4,0.0,68.0,145.0,70.0,Southpaw,32.0,4.07,0.43,6.45,0.54,0.0,0.0,0.72,0.0,2.0,1.0,1.0,0.5,0.43203819989534276,0.4,0.0,3.0,0.0
253de74457bd6374,Tony Fryklund,The Freak,14,9,1.0,72.0,185.0,,Orthodox,54.0,3.49,0.39,6.5,0.43,0.0,0.0,0.66,0.5,3.0,2.0,1.0,0.6666666666666666,0.4044117647058824,1.0,0.6666666666666666,138.66666666666666,1.0
1e35aa8955794580,Ulysses Gomez,Useless,9,5,0.0,66.0,125.0,,Orthodox,42.0,2.72,0.25,3.57,0.68,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.37209302325581395,0.0,0.0,23.0,0.5
05560764359161e4,Constantinos Philippou,,13,5,,71.0,185.0,73.0,Orthodox,46.0,2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3,9.0,6.0,3.0,0.6666666666666666,0.3750073333997871,0.5555555555555555,0.2222222222222222,70.55555555555556,0.5
a17ad5a5048e8c3f,Darren Stewart,The Dentist,12,8,,72.0,205.0,74.0,Orthodox,35.0,3.05,0.45,3.29,0.48,1.75,0.45,0.67,0.1,11.0,5.0,6.0,0.45454545454545453,0.43988253975113256,0.384375,0.09090909090909091,102.45454545454545,0.6
d56caaa5e123f518,Masutatsu Yano,,2,4,1.0,69.0,198.0,,Orthodox,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
597db668b01c442c,Marco Ruas,King of the Streets,9,4,2.0,73.0,210.0,,Orthodox,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.8,0.6189803097446205,0.75,1.2,0.0,1.0
84512339473dd300,Steven Koslow,Obi Won Shinobi The Pillow,6,1,0.0,67.0,125.0,69.0,Switch,29.0,0.77,0.37,3.73,0.4,5.28,0.55,0.0,1.1,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
d50382dc0565a9e1,Viviane Pereira,Sucuri,13,2,0.0,61.0,115.0,63.0,Orthodox,32.0,2.7,0.3,4.48,0.58,0.25,1.0,0.28,0.2,3.0,2.0,1.0,0.6666666666666666,0.4025215782275397,1.0,0.3333333333333333,115.0,0.0
e94085e821bd81de,Sam Hughes,Sampage,11,7,0.0,65.0,115.0,64.0,Orthodox,33.0,4.41,0.47,4.69,0.58,1.12,0.29,0.63,0.2,11.0,6.0,5.0,0.5454545454545454,0.48211870421651865,0.3347883597883598,0.18181818181818182,234.72727272727272,0.3333333333333333
330bafba312face4,Oliver Enkamp,,7,2,0.0,72.0,170.0,77.0,Switch,34.0,2.38,0.36,3.55,0.37,0.87,0.16,0.0,0.0,1.0,0.0,1.0,0.0,0.33663366336633666,0.2,0.0,47.0,0.5
eebc23626e38f5dc,Liana Jojua,She Wolf,8,5,0.0,64.0,125.0,62.0,Orthodox,30.0,2.42,0.3,5.32,0.54,1.71,0.66,0.5,1.3,3.0,1.0,2.0,0.3333333333333333,0.487962962962963,0.6666666666666666,1.0,64.0,1.0
a6c20202c701e5ca,Sasha Palatnikov,,6,4,0.0,73.0,170.0,72.0,Switch,37.0,6.69,0.53,5.44,0.52,0.72,1.0,0.7,0.0,2.0,1.0,1.0,0.5,0.5345464135021096,1.0,0.0,126.0,1.0
