height_in_a,weight_lb_a,reach_in_a,age_a,slpm_a,str_acc_dec_a,sapm_a,str_def_dec_a,td_avg_a,td_acc_dec_a,td_def_dec_a,sub_avg_a,height_in_b,weight_lb_b,reach_in_b,age_b,slpm_b,str_acc_dec_b,sapm_b,str_def_dec_b,td_avg_b,td_acc_dec_b,td_def_dec_b,sub_avg_b,hist_fights_a,hist_wins_a,hist_losses_a,hist_win_rate_a,hist_strike_acc_a,hist_td_acc_a,hist_sub_avg_a,hist_ctrl_avg_a,hist_finish_rate_a,hist_fights_b,hist_wins_b,hist_losses_b,hist_win_rate_b,hist_strike_acc_b,hist_td_acc_b,hist_sub_avg_b,hist_ctrl_avg_b,hist_finish_rate_b,height_in_diff,weight_lb_diff,reach_in_diff,age_diff,slpm_diff,str_acc_dec_diff,sapm_diff,str_def_dec_diff,td_avg_diff,td_acc_dec_diff,td_def_dec_diff,sub_avg_diff,hist_fights_diff,hist_wins_diff,hist_losses_diff,hist_win_rate_diff,hist_strike_acc_diff,hist_td_acc_diff,hist_sub_avg_diff,hist_ctrl_avg_diff,hist_finish_rate_diff,stance_a_Orthodox,stance_a_Sideways,stance_a_Southpaw,stance_a_Switch,stance_a_Unknown,stance_b_Orthodox,stance_b_Sideways,stance_b_Southpaw,stance_b_Switch,stance_b_Unknown,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Other,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,target
72.0,170.0,77.0,32.0,4.4,0.48,6.74,0.45,0.91,0.45,0.65,0.4,72.0,170.0,72.0,29.0,3.23,0.51,4.17,0.45,1.55,0.2,0.42,0.8,5,1,4,0.2,0.5054872450652501,1.0,0.0,26.6,1.0,8,3,5,0.375,0.5839775138941745,0.16865079365079363,0.625,197.875,0.3333333333333333,0.0,0.0,5.0,3.0,1.1700000000000004,-0.030000000000000027,2.5700000000000003,0.0,-0.64,0.25,0.23000000000000004,-0.4,-3,-2,-1,-0.175,-0.0784902688289244,0.8313492063492064,-0.625,-171.275,0.6666666666666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74.0,170.0,74.0,34.0,2.6,0.54,2.44,0.52,1.25,0.37,0.63,0.4,71.0,170.0,72.0,38.0,3.81,0.38,3.09,0.54,3.64,0.42,0.68,0.2,15,13,2,0.8666666666666667,0.5666436975424863,0.34861111111111115,0.4,232.93333333333334,0.3076923076923077,15,12,3,0.8,0.49027045452146717,0.4844268476621418,0.2,465.3333333333333,0.4166666666666667,3.0,0.0,2.0,-4.0,-1.21,0.16000000000000003,-0.6499999999999999,-0.020000000000000018,-2.39,-0.04999999999999999,-0.050000000000000044,0.2,0,1,-1,0.06666666666666665,0.07637324302101917,-0.13581573655103063,0.2,-232.39999999999998,-0.10897435897435898,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
64.0,125.0,64.0,30.0,3.06,0.45,3.24,0.5,0.82,0.41,0.51,0.3,67.0,125.0,66.0,35.0,3.63,0.55,2.5,0.63,1.17,0.42,0.79,0.2,6,2,4,0.3333333333333333,0.6027297107122903,0.75,0.3333333333333333,132.0,0.5,1,1,0,1.0,0.7307692307692307,0.0,0.0,67.0,0.0,-3.0,0.0,-2.0,-5.0,-0.5699999999999998,-0.10000000000000003,0.7400000000000002,-0.13,-0.35,-0.010000000000000009,-0.28,0.09999999999999998,5,1,4,-0.6666666666666667,-0.12803952005694041,0.75,0.3333333333333333,65.0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
65.0,125.0,67.0,35.0,4.38,0.5,3.88,0.49,2.79,0.47,0.69,1.0,69.0,125.0,68.0,33.0,5.54,0.41,4.25,0.43,0.65,0.75,0.45,1.1,13,10,3,0.7692307692307693,0.5136124180728587,0.5526170798898071,0.7692307692307693,162.0,0.6,7,5,2,0.7142857142857143,0.4132385162747666,1.0,1.0,49.42857142857143,0.8,-4.0,0.0,-1.0,2.0,-1.1600000000000001,0.09000000000000002,-0.3700000000000001,0.06,2.14,-0.28,0.23999999999999994,-0.10000000000000009,6,5,1,0.05494505494505497,0.10037390179809214,-0.44738292011019287,-0.23076923076923073,112.57142857142857,-0.20000000000000007,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
66.0,145.0,70.0,41.0,3.67,0.35,4.52,0.59,1.07,0.36,0.43,0.1,70.0,135.0,70.0,31.0,2.27,0.59,1.6,0.58,3.24,0.36,0.33,1.2,13,9,4,0.6923076923076923,0.3740180983440251,0.3020833333333333,0.07692307692307693,59.46153846153846,0.3333333333333333,8,7,1,0.875,0.626831621753702,0.5353632478632478,1.375,397.125,0.14285714285714285,-4.0,10.0,0.0,10.0,1.4,-0.24,2.9199999999999995,0.010000000000000009,-2.17,0.0,0.09999999999999998,-1.0999999999999999,5,2,3,-0.1826923076923077,-0.2528135234096769,-0.23327991452991453,-1.2980769230769231,-337.66346153846155,0.19047619047619047,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
72.0,205.0,76.0,38.0,3.77,0.53,3.81,0.5,0.5,0.31,0.78,0.2,75.0,205.0,76.0,37.0,5.4,0.48,3.92,0.57,0.32,0.25,0.62,0.0,10,7,3,0.7,0.6000732111026228,0.4444444444444444,0.2,153.6,0.8571428571428571,11,7,4,0.6363636363636364,0.4366738949633284,0.16666666666666666,0.0,42.72727272727273,0.5714285714285714,-3.0,0.0,0.0,1.0,-1.6300000000000003,0.050000000000000044,-0.10999999999999988,-0.06999999999999995,0.18,0.06,0.16000000000000003,0.2,-1,0,-1,0.0636363636363636,0.16339931613929437,0.2777777777777778,0.2,110.87272727272727,0.2857142857142857,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
71.0,170.0,76.0,42.0,4.91,0.45,4.37,0.55,0.39,0.35,0.66,0.9,70.0,155.0,73.0,31.0,5.49,0.52,3.89,0.42,0.69,0.21,0.44,1.2,22,15,7,0.6818181818181818,0.4415113310890035,0.4090909090909091,0.7272727272727273,21.818181818181817,0.7333333333333333,4,4,0,1.0,0.48064899059522714,0.375,1.25,50.5,0.75,1.0,15.0,3.0,11.0,-0.5800000000000001,-0.07,0.48,0.13000000000000006,-0.29999999999999993,0.13999999999999999,0.22000000000000003,-0.29999999999999993,18,11,7,-0.31818181818181823,-0.039137659506223665,0.034090909090909116,-0.5227272727272727,-28.681818181818183,-0.01666666666666672,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73.0,170.0,77.0,31.0,3.25,0.6,2.17,0.51,1.4,0.25,0.85,1.2,72.0,170.0,75.0,43.0,4.05,0.46,3.0,0.54,0.23,0.35,0.63,0.0,5,5,0,1.0,0.5486696816529218,0.4666666666666666,0.8,214.0,1.0,18,12,6,0.6666666666666666,0.4826493397303181,0.36666666666666664,0.0,54.388888888888886,0.5,1.0,0.0,2.0,-12.0,-0.7999999999999998,0.13999999999999996,-0.8300000000000001,-0.030000000000000027,1.17,-0.09999999999999998,0.21999999999999997,1.2,-13,-7,-6,0.33333333333333337,0.06602034192260375,0.09999999999999998,0.8,159.61111111111111,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
71.0,145.0,74.0,35.0,3.88,0.37,4.34,0.5,2.32,0.46,0.71,0.2,71.0,145.0,71.0,35.0,4.94,0.39,5.36,0.44,0.0,0.0,0.53,0.0,19,10,9,0.5263157894736842,0.3617202900676131,0.5097789115646258,0.21052631578947367,112.0,0.3,2,1,1,0.5,0.4967105263157895,0.45454545454545453,0.0,66.5,1.0,0.0,0.0,3.0,0.0,-1.0600000000000005,-0.020000000000000018,-1.0200000000000005,0.06,2.32,0.46,0.17999999999999994,0.2,17,9,8,0.02631578947368418,-0.1349902362481764,0.05523345701917132,0.21052631578947367,45.5,-0.7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
65.0,135.0,67.0,31.0,5.88,0.56,4.59,0.49,1.17,0.48,0.7,0.2,69.0,135.0,68.0,37.0,5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2,8,6,2,0.75,0.5809468408252477,0.4523809523809524,0.0,273.875,0.0,12,7,5,0.5833333333333334,0.40300789464234626,0.5,0.25,22.083333333333332,0.5714285714285714,-4.0,0.0,-1.0,-6.0,0.6899999999999995,0.17000000000000004,-2.05,-0.07000000000000006,1.02,-0.020000000000000018,-0.07000000000000006,0.0,-4,-1,-3,0.16666666666666663,0.17793894618290146,-0.047619047619047616,-0.25,251.79166666666666,-0.5714285714285714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
