height_in_a,weight_lb_a,reach_in_a,age_a,slpm_a,str_acc_dec_a,sapm_a,str_def_dec_a,td_avg_a,td_acc_dec_a,td_def_dec_a,sub_avg_a,height_in_b,weight_lb_b,reach_in_b,age_b,slpm_b,str_acc_dec_b,sapm_b,str_def_dec_b,td_avg_b,td_acc_dec_b,td_def_dec_b,sub_avg_b,hist_fights_a,hist_wins_a,hist_losses_a,hist_win_rate_a,hist_strike_acc_a,hist_td_acc_a,hist_sub_avg_a,hist_ctrl_avg_a,hist_finish_rate_a,hist_fights_b,hist_wins_b,hist_losses_b,hist_win_rate_b,hist_strike_acc_b,hist_td_acc_b,hist_sub_avg_b,hist_ctrl_avg_b,hist_finish_rate_b,height_in_diff,weight_lb_diff,reach_in_diff,age_diff,slpm_diff,str_acc_dec_diff,sapm_diff,str_def_dec_diff,td_avg_diff,td_acc_dec_diff,td_def_dec_diff,sub_avg_diff,hist_fights_diff,hist_wins_diff,hist_losses_diff,hist_win_rate_diff,hist_strike_acc_diff,hist_td_acc_diff,hist_sub_avg_diff,hist_ctrl_avg_diff,hist_finish_rate_diff,stance_a_Orthodox,stance_a_Sideways,stance_a_Southpaw,stance_a_Switch,stance_a_Unknown,stance_b_Orthodox,stance_b_Sideways,stance_b_Southpaw,stance_b_Switch,stance_b_Unknown,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Other,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,target
67.0,135.0,67.0,33.0,5.16,0.54,4.24,0.59,1.7,0.49,0.86,0.1,71.0,135.0,72.0,31.0,6.05,0.6,3.4,0.6,0.24,0.42,0.6,0.2,9,8,1,0.8888888888888888,0.5337624067135835,0.4261904761904762,0.2222222222222222,128.77777777777777,0.5,8,7,1,0.875,0.6251184472291814,0.5,0.375,12.25,0.7142857142857143,-4.0,0.0,-5.0,2.0,-0.8899999999999997,-0.05999999999999994,0.8400000000000003,-0.010000000000000009,1.46,0.07,0.26,-0.1,1,1,0,0.01388888888888884,-0.09135604051559787,-0.07380952380952382,-0.1527777777777778,116.52777777777777,-0.2142857142857143,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.0,155.0,70.0,35.0,3.29,0.51,2.96,0.59,5.15,0.37,0.83,0.1,70.0,155.0,72.0,36.0,3.78,0.49,2.62,0.57,2.11,0.38,0.82,0.8,5,4,1,0.8,0.6099474072487565,0.4139285714285714,0.2,133.6,0.75,19,15,4,0.7894736842105263,0.5096480233294961,0.3519607843137255,0.631578947368421,241.05263157894737,0.5333333333333333,0.0,0.0,-2.0,-1.0,-0.48999999999999977,0.020000000000000018,0.33999999999999986,0.020000000000000018,3.0400000000000005,-0.010000000000000009,0.010000000000000009,-0.7000000000000001,-14,-11,-3,0.010526315789473717,0.10029938391926041,0.06196778711484591,-0.431578947368421,-107.45263157894738,0.21666666666666667,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71.0,170.0,72.0,36.0,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,73.0,170.0,71.0,33.0,1.8,0.39,2.2,0.39,1.35,0.3,0.6,0.5,2,1,1,0.5,0.4722222222222222,0.6,0.0,184.0,0.0,1,0,1,0.0,0.3157894736842105,0.5,0.0,22.0,0.5714285714285714,-2.0,0.0,1.0,3.0,0.9799999999999998,0.14,0.4099999999999997,0.26,-0.10000000000000009,-0.07999999999999999,0.28,-0.5,1,1,0,0.5,0.1564327485380117,0.09999999999999998,0.0,162.0,-0.5714285714285714,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74.0,185.0,75.0,36.0,4.21,0.43,2.57,0.61,3.03,0.66,0.77,0.2,73.0,185.0,75.0,33.0,3.47,0.56,2.61,0.6,1.25,0.5,0.76,0.4,4,3,1,0.75,0.4187144448319819,0.3333333333333333,0.25,19.0,0.6666666666666666,2,2,0,1.0,0.5563265306122449,0.9,0.0,610.0,0.0,1.0,0.0,0.0,3.0,0.7399999999999998,-0.13000000000000006,-0.040000000000000036,0.010000000000000009,1.7799999999999998,0.16000000000000003,0.010000000000000009,-0.2,2,1,1,-0.25,-0.13761208578026302,-0.5666666666666667,0.25,-591.0,0.6666666666666666,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67.0,125.0,65.0,36.0,5.66,0.42,3.58,0.66,1.05,0.29,0.87,0.0,69.0,125.0,68.0,37.0,4.58,0.34,4.48,0.62,0.31,0.15,0.5,0.3,4,4,0,1.0,0.49016133460575695,0.7083333333333334,0.0,131.75,0.5,15,11,4,0.7333333333333333,0.3559929959230668,0.1388888888888889,0.3333333333333333,64.53333333333333,0.0,-2.0,0.0,-3.0,-1.0,1.08,0.07999999999999996,-0.9000000000000004,0.040000000000000036,0.74,0.13999999999999999,0.37,-0.3,-11,-7,-4,0.2666666666666667,0.13416833868269012,0.5694444444444444,-0.3333333333333333,67.21666666666667,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
70.0,170.0,72.0,33.0,3.96,0.55,3.05,0.59,3.53,0.53,0.86,0.9,71.0,170.0,72.0,37.0,4.43,0.43,3.82,0.55,2.14,0.36,0.9,0.1,5,5,0,1.0,0.5245011850894203,0.7472222222222222,0.8,320.0,0.4,15,12,3,0.8,0.43136065430608983,0.3743589743589744,0.2,226.6,0.16666666666666666,-1.0,0.0,0.0,-4.0,-0.46999999999999975,0.12000000000000005,-0.77,0.039999999999999925,1.3899999999999997,0.17000000000000004,-0.040000000000000036,0.8,-10,-7,-3,0.19999999999999996,0.09314053078333051,0.3728632478632478,0.6000000000000001,93.4,0.23333333333333336,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75.0,205.0,77.0,34.0,4.36,0.54,2.59,0.47,2.05,0.37,0.53,1.2,74.0,205.0,75.0,36.0,4.99,0.48,4.19,0.55,0.5,0.29,0.8,0.1,16,9,7,0.5625,0.5789888421444406,0.4041666666666667,0.5625,145.9375,0.8888888888888888,11,6,5,0.5454545454545454,0.5011515999016333,0.2738095238095238,0.0,78.72727272727273,0.5,1.0,0.0,2.0,-2.0,-0.6299999999999999,0.06000000000000005,-1.6000000000000005,-0.08000000000000007,1.5499999999999998,0.08000000000000002,-0.27,1.0999999999999999,5,3,2,0.017045454545454586,0.0778372422428073,0.1303571428571429,0.5625,67.21022727272727,0.38888888888888884,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67.0,125.0,70.0,25.0,1.61,0.45,1.35,0.57,5.29,0.41,0.25,0.8,67.0,125.0,71.0,35.0,2.5,0.45,2.0,0.43,1.72,0.35,0.26,1.0,2,2,0,1.0,0.40689655172413797,0.46153846153846156,0.5,357.5,0.5,4,2,2,0.5,0.2519615800865801,0.5909090909090909,0.25,99.5,0.5,0.0,0.0,-1.0,-10.0,-0.8899999999999999,0.0,-0.6499999999999999,0.13999999999999996,3.5700000000000003,0.06,-0.010000000000000009,-0.19999999999999996,-2,0,-2,0.5,0.15493497163755787,-0.12937062937062938,0.25,258.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
75.0,185.0,71.0,35.0,5.84,0.53,3.31,0.53,0.17,0.33,0.41,0.0,73.0,185.0,76.0,34.0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3,2,1,1,0.5,0.5289901355475126,0.4490467568676125,0.0,39.5,0.0,1,0,1,0.0,0.5777777777777777,0.45454545454545453,0.0,27.0,0.5714285714285714,2.0,0.0,-5.0,1.0,1.5499999999999998,0.07,-1.9999999999999996,0.07,-1.5,-0.42,-0.24000000000000005,-0.3,1,1,0,0.5,-0.048787642230265105,-0.005498697677842057,0.0,12.5,-0.5714285714285714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
67.0,135.0,65.0,44.0,2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1,65.0,135.0,67.0,31.0,5.88,0.56,4.59,0.49,1.17,0.48,0.7,0.2,9,4,5,0.4444444444444444,0.5277110987684929,0.35714285714285715,0.1111111111111111,233.11111111111111,0.0,5,4,1,0.8,0.5849717143065771,0.41666666666666663,0.0,274.6,0.0,2.0,0.0,-2.0,13.0,-3.19,-0.010000000000000009,-0.7199999999999998,-0.04999999999999999,-0.6499999999999999,-0.20999999999999996,-0.22999999999999998,-0.1,4,0,4,-0.3555555555555556,-0.05726061553808426,-0.05952380952380948,0.1111111111111111,-41.48888888888891,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73.0,170.0,74.0,39.0,7.2,0.49,5.4,0.57,0.51,0.5,0.64,0.1,72.0,170.0,71.0,37.0,4.46,0.42,3.95,0.56,1.19,0.41,0.6,0.0,7,6,1,0.8571428571428571,0.4945783501991885,0.3333333333333333,0.14285714285714285,18.428571428571427,0.5,16,11,5,0.6875,0.3928569135317904,0.47294372294372294,0.0,56.1875,0.7272727272727273,1.0,0.0,3.0,2.0,2.74,0.07,1.4500000000000002,0.009999999999999898,-0.6799999999999999,0.09000000000000002,0.040000000000000036,0.1,-9,-5,-4,0.1696428571428571,0.10172143666739808,-0.13961038961038963,0.14285714285714285,-37.75892857142857,-0.2272727272727273,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
78.0,205.0,82.0,33.0,4.06,0.55,3.09,0.45,0.42,0.6,0.57,0.8,73.0,205.0,75.0,32.0,4.23,0.43,3.28,0.47,3.76,0.49,0.75,0.2,8,4,4,0.5,0.6341652097902097,0.4490467568676125,0.0,29.875,1.0,11,5,6,0.45454545454545453,0.48036736978083455,0.5539682539682539,0.0,95.45454545454545,0.6,5.0,0.0,7.0,1.0,-0.17000000000000082,0.12000000000000005,-0.18999999999999995,-0.019999999999999962,-3.34,0.10999999999999999,-0.18000000000000005,0.6000000000000001,-3,-1,-2,0.04545454545454547,0.1537978400093752,-0.10492149710064141,0.0,-65.57954545454545,0.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
71.0,170.0,76.0,42.0,4.91,0.45,4.37,0.55,0.39,0.35,0.66,0.9,72.0,170.0,76.0,40.0,4.57,0.45,3.77,0.52,1.05,0.3,0.41,1.3,20,15,5,0.75,0.4404554307322203,0.4629629629629629,0.8,22.95,0.7333333333333333,26,15,11,0.5769230769230769,0.4371411994728298,0.41098742527313953,0.9615384615384616,109.15384615384616,0.7333333333333333,-1.0,0.0,0.0,2.0,0.33999999999999986,0.0,0.6000000000000001,0.030000000000000027,-0.66,0.04999999999999999,0.25000000000000006,-0.4,-6,0,-6,0.17307692307692313,0.00331423125939051,0.05197553768982338,-0.16153846153846152,-86.20384615384616,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75.0,170.0,81.0,33.0,4.26,0.49,3.22,0.5,0.83,0.39,0.56,0.5,74.0,185.0,75.0,31.0,4.04,0.6,2.32,0.43,5.29,0.55,0.85,1.8,14,10,4,0.7142857142857143,0.6084677976399437,0.48148148148148145,0.5,107.42857142857143,0.7,5,5,0,1.0,0.72461119332955,0.6666666666666666,1.0,171.8,0.8,1.0,-15.0,6.0,2.0,0.21999999999999975,-0.10999999999999999,0.9000000000000004,0.07,-4.46,-0.16000000000000003,-0.2899999999999999,-1.3,9,5,4,-0.2857142857142857,-0.1161433956896063,-0.18518518518518517,-0.5,-64.37142857142858,-0.10000000000000009,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76.0,205.0,78.0,29.0,2.45,0.42,3.42,0.54,4.98,0.41,0.16,0.0,75.0,225.0,79.0,34.0,2.23,0.62,1.3,0.43,5.64,0.55,0.6,1.7,0,0,0,0.6428571428571429,0.4716922977588943,0.4490467568676125,0.2857142857142857,116.5,0.5714285714285714,2,2,0,1.0,0.5588235294117647,0.75,0.5,218.5,1.0,1.0,-20.0,-1.0,-5.0,0.2200000000000002,-0.2,2.12,0.11000000000000004,-0.6599999999999993,-0.14000000000000007,-0.43999999999999995,-1.7,-2,-2,0,-0.3571428571428571,-0.0871312316528704,-0.3009532431323875,-0.2142857142857143,-102.0,-0.4285714285714286,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69.0,261.0,75.0,39.0,3.36,0.47,6.55,0.36,0.0,0.0,0.35,0.0,75.0,230.0,78.0,37.0,5.8,0.44,5.08,0.5,0.71,0.33,0.67,0.6,3,1,2,0.3333333333333333,0.4578000430941607,0.0,0.0,10.333333333333334,1.0,11,5,6,0.45454545454545453,0.4376614477347036,0.31666666666666665,0.2727272727272727,86.45454545454545,0.4,-6.0,31.0,-3.0,2.0,-2.44,0.02999999999999997,1.4699999999999998,-0.14,-0.71,-0.33,-0.32000000000000006,-0.6,-8,-4,-4,-0.12121212121212122,0.020138595359457112,-0.31666666666666665,-0.2727272727272727,-76.12121212121212,0.6,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
63.0,115.0,63.0,33.0,3.41,0.53,3.26,0.51,0.46,0.6,0.53,0.0,62.0,115.0,66.0,28.0,3.78,0.47,5.21,0.53,0.35,0.5,0.5,0.0,3,1,2,0.3333333333333333,0.4024970963995354,0.4490467568676125,0.0,7.333333333333333,0.0,0,0,0,0.6666666666666666,0.4731491988522903,0.45454545454545453,0.2857142857142857,116.11111111111111,0.5714285714285714,1.0,0.0,-3.0,5.0,-0.36999999999999966,0.06000000000000005,-1.9500000000000002,-0.020000000000000018,0.11000000000000004,0.09999999999999998,0.030000000000000027,0.0,3,1,2,-0.3333333333333333,-0.07065210245275488,-0.005498697677842057,-0.2857142857142857,-108.77777777777779,-0.5714285714285714,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
73.0,145.0,74.0,36.0,6.21,0.48,6.27,0.48,1.78,0.43,0.61,0.7,68.0,145.0,73.0,34.0,5.45,0.5,3.37,0.56,0.0,0.0,0.65,0.0,10,5,5,0.5,0.5011228710483441,0.6333333333333333,0.5,73.3,0.6,8,6,2,0.75,0.5540417486546959,0.0,0.0,73.625,0.16666666666666666,5.0,0.0,1.0,2.0,0.7599999999999998,-0.020000000000000018,2.8999999999999995,-0.08000000000000007,1.78,0.43,-0.040000000000000036,0.7,2,-1,3,-0.25,-0.05291887760635183,0.6333333333333333,0.5,-0.32500000000000284,0.43333333333333335,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
65.0,135.0,66.0,34.0,2.82,0.32,5.12,0.57,1.74,0.43,0.75,0.0,66.0,135.0,64.0,39.0,3.11,0.46,2.76,0.53,0.68,0.3,0.38,0.5,4,3,1,0.75,0.39042265515894226,0.36813186813186816,0.0,93.0,0.3333333333333333,1,1,0,1.0,0.5153846153846153,0.0,2.0,80.0,1.0,-1.0,0.0,2.0,-5.0,-0.29000000000000004,-0.14,2.3600000000000003,0.039999999999999925,1.06,0.13,0.37,-0.5,3,2,1,-0.25,-0.12496196022567307,0.36813186813186816,-2.0,13.0,-0.6666666666666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73.0,170.0,76.0,33.0,2.22,0.41,3.38,0.58,0.94,0.28,0.72,0.5,71.0,170.0,72.0,32.0,4.49,0.51,4.56,0.51,2.0,0.3,1.0,0.0,1,0,1,0.0,0.5125,0.5,1.0,97.0,0.5714285714285714,2,0,2,0.0,0.542036910457963,0.41666666666666663,0.0,185.0,0.5714285714285714,2.0,0.0,4.0,1.0,-2.27,-0.10000000000000003,-1.1799999999999997,0.06999999999999995,-1.06,-0.019999999999999962,-0.28,0.5,-1,0,-1,0.0,-0.029536910457963028,0.08333333333333337,1.0,-88.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
72.0,185.0,74.0,32.0,4.74,0.45,4.55,0.56,1.41,0.43,0.68,0.4,72.0,185.0,73.0,35.0,4.39,0.43,3.36,0.59,0.73,0.38,0.82,0.0,11,8,3,0.7272727272727273,0.47684788143698503,0.5061344537815126,0.5454545454545454,281.54545454545456,0.25,18,14,4,0.7777777777777778,0.4375813760387761,0.4583638583638583,0.0,84.72222222222223,0.35714285714285715,0.0,0.0,1.0,-3.0,0.35000000000000053,0.020000000000000018,1.19,-0.029999999999999916,0.6799999999999999,0.04999999999999999,-0.1399999999999999,0.4,-7,-6,-1,-0.0505050505050505,0.03926650539820892,0.04777059541765427,0.5454545454545454,196.82323232323233,-0.10714285714285715,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71.0,135.0,72.0,34.0,3.21,0.46,2.76,0.44,1.87,0.35,0.62,0.4,69.0,135.0,68.0,37.0,5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2,8,6,2,0.75,0.4680530465313174,0.3958333333333333,0.25,272.25,0.5,10,6,4,0.6,0.40282546884314885,0.5,0.1,19.5,0.5,2.0,0.0,4.0,-3.0,-1.9800000000000004,0.07,-3.88,-0.12000000000000005,1.7200000000000002,-0.15000000000000002,-0.15000000000000002,0.2,-2,0,-2,0.15000000000000002,0.06522757768816856,-0.10416666666666669,0.15,252.75,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75.0,185.0,75.0,30.0,4.28,0.54,3.17,0.58,0.74,0.32,0.81,1.0,70.0,170.0,76.0,31.0,3.88,0.36,2.93,0.59,1.54,0.45,0.72,0.1,4,3,1,0.75,0.576000427663734,0.375,2.0,151.25,0.6666666666666666,7,5,2,0.7142857142857143,0.32973494039782253,0.2583333333333333,0.0,58.57142857142857,0.8,5.0,15.0,-1.0,-1.0,0.40000000000000036,0.18000000000000005,0.23999999999999977,-0.010000000000000009,-0.8,-0.13,0.09000000000000008,0.9,-3,-2,-1,0.0357142857142857,0.24626548726591152,0.1166666666666667,2.0,92.67857142857143,-0.13333333333333341,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
74.0,264.0,75.0,33.0,3.66,0.48,4.97,0.43,0.0,0.0,0.6,0.0,76.0,247.0,81.0,35.0,5.29,0.61,2.33,0.6,0.68,0.25,0.47,0.6,11,8,3,0.7272727272727273,0.5700922351305983,0.0,0.0,72.9090909090909,0.875,8,7,1,0.875,0.6237044489282013,0.2108843537414966,0.625,91.625,0.5714285714285714,-2.0,17.0,-6.0,-2.0,-1.63,-0.13,2.6399999999999997,-0.16999999999999998,-0.68,-0.25,0.13,-0.6,3,1,2,-0.1477272727272727,-0.05361221379760306,-0.2108843537414966,-0.625,-18.715909090909093,0.3035714285714286,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73.0,185.0,77.0,37.0,3.61,0.41,5.23,0.38,0.96,0.42,0.72,0.0,74.0,185.0,80.0,37.0,2.65,0.47,3.62,0.5,1.26,0.4,0.67,0.1,1,0,1,0.0,0.3780487804878049,0.0,0.0,2.0,0.5714285714285714,5,2,3,0.4,0.5497604229912973,0.4375,0.0,80.0,0.0,-1.0,0.0,-3.0,0.0,0.96,-0.06,1.6100000000000003,-0.12,-0.30000000000000004,0.019999999999999962,0.04999999999999993,-0.1,-4,-2,-2,-0.4,-0.17171164250349247,-0.4375,0.0,-78.0,0.5714285714285714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
67.0,135.0,67.0,35.0,3.89,0.5,2.12,0.65,1.56,0.56,0.68,0.0,71.0,145.0,70.0,42.0,2.37,0.25,4.57,0.47,0.0,0.0,0.77,0.5,5,3,2,0.6,0.46859258255712877,0.5416666666666666,0.0,119.0,0.0,0,0,0,0.6666666666666666,0.4731491988522903,0.45454545454545453,0.2857142857142857,116.11111111111111,0.5714285714285714,-4.0,-10.0,-3.0,-7.0,1.52,0.25,-2.45,0.18000000000000005,1.56,0.56,-0.08999999999999997,-0.5,5,3,2,-0.06666666666666665,-0.00455661629516152,0.0871212121212121,-0.2857142857142857,2.8888888888888857,-0.5714285714285714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
71.0,145.0,73.0,31.0,3.29,0.44,3.29,0.61,0.0,0.0,0.33,0.3,72.0,145.0,73.0,28.0,3.48,0.49,2.76,0.61,0.86,0.38,0.72,0.3,0,0,0,0.6428571428571429,0.4716922977588943,0.4490467568676125,0.2857142857142857,116.5,0.5714285714285714,0,0,0,0.6666666666666666,0.4731491988522903,0.45454545454545453,0.2857142857142857,116.11111111111111,0.5714285714285714,-1.0,0.0,0.0,3.0,-0.18999999999999995,-0.04999999999999999,0.5300000000000002,0.0,-0.86,-0.38,-0.38999999999999996,0.0,0,0,0,-0.023809523809523725,-0.001456901093395968,-0.005498697677842057,0.0,0.38888888888888573,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72.0,185.0,75.0,33.0,4.59,0.5,5.18,0.52,1.14,0.47,0.88,0.0,72.0,185.0,74.0,36.0,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0,2,0,2,0.0,0.42054329371816634,0.25,0.0,13.5,0.5714285714285714,10,4,6,0.4,0.42659609220831723,0.4523809523809524,0.0,64.5,0.5,0.0,0.0,1.0,-3.0,1.27,0.10999999999999999,1.7399999999999998,-0.08999999999999997,-0.32000000000000006,0.07999999999999996,0.050000000000000044,0.0,-8,-4,-4,-0.4,-0.00605279849015089,-0.20238095238095238,0.0,-51.0,0.0714285714285714,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65.0,135.0,66.0,31.0,2.88,0.56,1.58,0.56,4.9,0.49,0.72,0.2,66.0,135.0,68.0,37.0,2.2,0.46,2.48,0.52,2.48,0.42,0.5,0.6,0,0,0,0.6428571428571429,0.4716922977588943,0.4490467568676125,0.2857142857142857,116.5,0.5714285714285714,4,2,2,0.5,0.5295902014652014,0.6666666666666666,0.25,115.0,1.0,-1.0,0.0,-2.0,-6.0,0.6799999999999997,0.10000000000000003,-0.8999999999999999,0.040000000000000036,2.4200000000000004,0.07,0.21999999999999997,-0.39999999999999997,-4,-2,-2,0.1428571428571429,-0.0578979037063071,-0.21761990979905416,0.0357142857142857,1.5,-0.4285714285714286,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74.0,185.0,78.0,35.0,3.07,0.49,3.43,0.55,2.61,0.59,1.0,0.4,72.0,185.0,75.0,34.0,3.3,0.45,3.23,0.47,2.08,0.37,0.46,1.1,0,0,0,0.6428571428571429,0.4716922977588943,0.4490467568676125,0.2857142857142857,116.5,0.5714285714285714,4,1,3,0.25,0.4173487103174603,0.35,0.25,208.5,0.0,2.0,0.0,3.0,1.0,-0.22999999999999998,0.03999999999999998,0.20000000000000018,0.08000000000000007,0.5299999999999998,0.21999999999999997,0.54,-0.7000000000000001,-4,-1,-3,0.3928571428571429,0.05434358744143403,0.0990467568676125,0.0357142857142857,-92.0,0.5714285714285714,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
66.0,145.0,69.0,32.0,5.74,0.52,4.32,0.54,1.46,0.5,0.73,0.5,69.0,135.0,69.0,30.0,5.48,0.49,4.25,0.56,0.33,0.21,0.47,0.7,7,5,2,0.7142857142857143,0.47267211683410054,0.611111111111111,0.5714285714285714,116.0,0.6,8,4,4,0.5,0.5123464863435245,0.0,0.125,63.5,0.75,-3.0,10.0,0.0,2.0,0.2599999999999998,0.030000000000000027,0.07000000000000028,-0.020000000000000018,1.13,0.29000000000000004,0.26,-0.19999999999999996,-1,1,-2,0.2142857142857143,-0.03967436950942399,0.611111111111111,0.4464285714285714,52.5,-0.15000000000000002,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
71.0,155.0,73.0,30.0,5.62,0.58,4.09,0.42,4.19,0.35,0.72,1.8,71.0,145.0,71.0,35.0,3.23,0.43,6.01,0.37,4.75,0.38,0.0,1.9,2,1,1,0.5,0.6263513513513513,0.37142857142857144,1.0,229.5,1.0,0,0,0,0.6666666666666666,0.4731491988522903,0.45454545454545453,0.2857142857142857,116.11111111111111,0.5714285714285714,0.0,10.0,2.0,-5.0,2.39,0.14999999999999997,-1.92,0.04999999999999999,-0.5599999999999996,-0.030000000000000027,0.72,-0.09999999999999987,2,1,1,-0.16666666666666663,0.15320215249906105,-0.08311688311688309,0.7142857142857143,113.38888888888889,0.4285714285714286,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
68.0,155.0,68.0,40.0,5.52,0.49,4.15,0.68,0.0,0.0,0.86,0.0,70.0,155.0,72.0,30.0,6.36,0.45,6.0,0.63,0.34,0.2,0.86,0.0,18,11,7,0.6111111111111112,0.5279333834231001,0.0,0.0,12.666666666666666,0.2727272727272727,9,5,4,0.5555555555555556,0.4697884494047767,0.2,0.0,33.44444444444444,0.2,-2.0,0.0,-4.0,10.0,-0.8400000000000007,0.03999999999999998,-1.8499999999999996,0.050000000000000044,-0.34,-0.2,0.0,0.0,9,6,3,0.05555555555555558,0.058144934018323435,-0.2,0.0,-20.77777777777778,0.0727272727272727,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
68.0,135.0,67.0,28.0,4.42,0.43,3.94,0.55,0.78,0.39,0.73,0.1,71.0,135.0,70.0,33.0,4.86,0.45,3.47,0.56,1.15,0.34,0.56,0.2,9,8,1,0.8888888888888888,0.40779587697369213,0.5,0.2222222222222222,77.22222222222223,0.625,10,7,3,0.7,0.4581059170286082,0.3611111111111111,0.3,69.3,0.7142857142857143,-3.0,0.0,-3.0,-5.0,-0.4400000000000004,-0.020000000000000018,0.46999999999999975,-0.010000000000000009,-0.3699999999999999,0.04999999999999999,0.16999999999999993,-0.1,-1,1,-2,0.18888888888888888,-0.05031004005491607,0.1388888888888889,-0.07777777777777778,7.922222222222231,-0.0892857142857143,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.0,145.0,70.0,35.0,1.69,0.59,1.09,0.5,4.48,0.5,0.5,1.5,71.0,155.0,71.0,37.0,2.96,0.42,3.47,0.49,2.3,0.32,0.37,1.2,4,4,0,1.0,0.4817460317460317,0.3136363636363636,1.5,433.0,0.25,6,4,2,0.6666666666666666,0.4437813995858424,0.41666666666666663,1.8333333333333333,299.0,0.5,-3.0,-10.0,-1.0,-2.0,-1.27,0.16999999999999998,-2.38,0.010000000000000009,2.1800000000000006,0.18,0.13,0.30000000000000004,-2,0,-2,0.33333333333333337,0.037964632160189304,-0.10303030303030303,-0.33333333333333326,134.0,-0.25,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
