fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg
a9a314cc77d90b6e,Wade Shipp,The Nightmare,11,5,0,75,245,,Orthodox,51,4.29,0.86,2.14,0.0,0.0,0.0,0.75,0.0
effd9de9937996f8,Tyron Woodley,The Chosen One,19,7,1,69,170,74,Orthodox,43,2.36,0.48,2.76,0.54,1.06,0.4,0.87,0.4
8d03ce87ca14e778,Francis Ngannou,The Predator,17,3,0,76,250,83,Orthodox,39,2.33,0.41,2.16,0.41,0.76,0.62,0.71,0.3
c4b6099f0d25f75e,Jared Rollins,J-Roc,8,4,0,69,170,,Orthodox,49,3.33,0.57,2.41,0.39,2.5,0.5,0.5,1.2
80daefbed11ce998,Alejandro Perez,Turbo,23,9,1,66,135,67,Orthodox,36,3.45,0.35,3.18,0.61,0.54,0.22,0.7,0.3
3bbcd63a016d9715,Cameron Dollar,,11,5,0,71,155,,Orthodox,38,5.04,0.38,2.94,0.61,0.0,0.0,0.0,0.0
a264d4e9a4d6bfe4,Sangwook Kim,Frogman,13,4,0,72,155,71,Orthodox,32,5.11,0.55,5.82,0.44,1.77,0.22,0.72,1.2
78114b7199cef90c,Urijah Faber,The California Kid,35,11,0,66,135,67,Orthodox,46,2.65,0.4,2.59,0.64,1.54,0.3,0.58,0.8
2284092f8b63273b,Luke Zachrich,,14,4,0,74,185,74,Orthodox,44,4.56,0.32,4.46,0.62,0.74,0.33,0.8,0.0
23459ee7e373b98f,Jared Hamman,The Messenger,14,6,0,75,185,75,Orthodox,44,5.15,0.42,3.93,0.55,1.57,0.46,0.3,0.0
497ba5b12a4bfc47,Jason Brilz,Hitman,22,6,1,71,205,71,Orthodox,50,2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3
59a27d2e6d0802ac,Max Rohskopf,Rated R,5,1,0,73,155,71,Orthodox,31,1.7,0.31,5.8,0.42,3.0,0.33,0.0,1.5
b2a78df161bd67f9,Gauge Young,Gee Money,10,3,0,69,155,70,Orthodox,25,5.71,0.51,5.82,0.48,1.0,0.3,0.71,0.0
da6dfd09cca1d705,Wallid Ismail,,9,3,0,67,205,,Orthodox,58,0.92,0.31,0.83,0.44,1.85,0.28,0.0,0.5
e0ec3c3b6b611f7e,Hermes Franca,,24,17,,66,155,71,Orthodox,51,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4
22aa91e402d0fe1f,Ramsey Nijem,,9,6,0,71,155,75,Orthodox,37,3.05,0.44,1.62,0.62,5.32,0.62,0.55,1.1
